month,year,value
8,2010,87.6 
9,2010,94.0 
10,2010,85.7 
11,2010,90.8 
12,2010,100.4 
1,2011,121.4 
2,2011,139.5 
3,2011,116.8 
4,2011,106.3 
5,2011,91.8 
6,2011,83.6 
7,2011,76.9 
8,2011,81.3 
9,2011,84.6 
10,2011,80.9 
11,2011,84.0 
12,2011,98.4 
1,2012,120.4 
2,2012,135.2 
3,2012,118.4 
4,2012,109.5 
5,2012,93.1 
6,2012,81.6 
7,2012,75.0 
8,2012,80.2 
9,2012,81.7 
10,2012,79.7 
11,2012,84.7 
12,2012,102.2 
1,2013,122.6 
2,2013,137.5 
3,2013,113.4 
4,2013,101.7 
5,2013,86.7 
6,2013,78.8 
7,2013,74.7 
8,2013,80.2 
9,2013,85.0 
10,2013,76.0 
11,2013,84.2 
12,2013,99.3 
1,2014,117.7 
2,2014,135.8 
3,2014,115.9 
4,2014,101.4 
5,2014,79.9 
6,2014,77.4 
7,2014,69.6 
8,2014,75.0 
9,2014,77.8 
10,2014,75.1 
11,2014,79.5 
12,2014,97.0 
1,2015,116.4 
2,2015,133.0 
3,2015,112.6 
4,2015,101.8 
5,2015,83.8 
6,2015,79.1 
7,2015,72.1 
8,2015,80.3 
9,2015,78.8 
10,2015,72.8 
11,2015,79.0 
