month,year,value
8,2010,101.8 
9,2010,98.3 
10,2010,99.2 
11,2010,98.3 
12,2010,120.3 
1,2011,91.4 
2,2011,98.8 
3,2011,96.1 
4,2011,96.3 
5,2011,98.5 
6,2011,97.8 
7,2011,99.2 
8,2011,100.3 
9,2011,97.9 
10,2011,99.0 
11,2011,98.8 
12,2011,120.5 
1,2012,92.0 
2,2012,97.4 
3,2012,97.9 
4,2012,98.4 
5,2012,98.2 
6,2012,98.1 
7,2012,97.6 
8,2012,100.7 
9,2012,99.3 
10,2012,98.8 
11,2012,98.1 
12,2012,121.7 
1,2013,92.4 
2,2013,100.4 
3,2013,102.4 
4,2013,101.2 
5,2013,102.2 
6,2013,102.9 
7,2013,100.6 
8,2013,103.4 
9,2013,100.8 
10,2013,99.2 
11,2013,100.1 
12,2013,123.0 
1,2014,93.9 
2,2014,100.3 
3,2014,106.0 
4,2014,94.4 
5,2014,99.5 
6,2014,99.2 
7,2014,96.7 
8,2014,101.2 
9,2014,98.1 
10,2014,98.0 
11,2014,100.7 
12,2014,120.7 
1,2015,91.1 
2,2015,100.0 
3,2015,100.3 
4,2015,97.8 
5,2015,100.4 
6,2015,98.6 
7,2015,98.7 
8,2015,102.0 
9,2015,98.9 
10,2015,98.9 
11,2015,100.0 
