month,year,value
11,2006,97.8
12,2006,114.2
1,2007,99.6
2,2007,101.9
3,2007,105.5
4,2007,109.6
5,2007,97.9
6,2007,96.9
7,2007,97.7
8,2007,98.8
9,2007,96.9
10,2007,98.8
11,2007,97.4
12,2007,116.7
1,2008,103.4
2,2008,98.6
3,2008,104.0
4,2008,106.8
5,2008,95.0
6,2008,95.5
7,2008,97.5
8,2008,94.9
9,2008,94.8
10,2008,95.1
11,2008,97.0
12,2008,111.6
1,2009,97.3
2,2009,98.7
3,2009,103.9
4,2009,105.7
5,2009,95.4
6,2009,95.8
7,2009,95.9
8,2009,97.4
9,2009,95.9
10,2009,96.9
11,2009,99.2
12,2009,113.9
1,2010,98.5
2,2010,97.7
3,2010,107.7
4,2010,104.4
5,2010,94.5
6,2010,96.5
7,2010,97.0
8,2010,99.6
9,2010,96.4
10,2010,97.0
11,2010,99.4
12,2010,111.0
1,2011,98.3
2,2011,98.2
3,2011,99.0
4,2011,102.4
5,2011,93.5
6,2011,93.2
7,2011,95.0
8,2011,95.5
9,2011,94.5
10,2011,96.7
11,2011,96.3
12,2011,111.7
1,2012,96.2
2,2012,97.1
3,2012,102.5
4,2012,105.2
5,2012,97.3
6,2012,94.8
7,2012,96.6
8,2012,97.4
9,2012,93.7
10,2012,96.6
11,2012,96.6
12,2012,111.0
1,2013,98.5
2,2013,101.4
3,2013,107.9
4,2013,106.9
5,2013,95.8
6,2013,94.5
7,2013,96.8
8,2013,96.0
9,2013,97.5
10,2013,97.6
11,2013,96.9
12,2013,112.2
1,2014,100.0
2,2014,99.3
3,2014,115.9
4,2014,102.1
5,2014,88.3
6,2014,91.8
7,2014,91.3
8,2014,91.7
9,2014,92.1
10,2014,93.9
11,2014,94.6
12,2014,108.4
1,2015,94.9
2,2015,96.5
3,2015,103.8
4,2015,101.1
5,2015,92.8
6,2015,90.1
7,2015,91.2
8,2015,94.6
9,2015,91.9
10,2015,91.5
11,2015,92.0
