month,year,value
8,2010,87.6 
9,2010,98.4 
10,2010,97.7 
11,2010,108.3 
12,2010,113.0 
1,2011,100.4 
2,2011,105.7 
3,2011,106.3 
4,2011,107.5 
5,2011,93.2 
6,2011,97.5 
7,2011,101.1 
8,2011,93.8 
9,2011,100.7 
10,2011,105.0 
11,2011,106.7 
12,2011,106.5 
1,2012,91.8 
2,2012,109.3 
3,2012,108.2 
4,2012,99.5 
5,2012,95.3 
6,2012,99.0 
7,2012,107.6 
8,2012,102.1 
9,2012,100.6 
10,2012,109.3 
11,2012,108.3 
12,2012,107.7 
1,2013,95.3 
2,2013,103.8 
3,2013,110.3 
4,2013,102.7 
5,2013,99.3 
6,2013,106.9 
7,2013,101.7 
8,2013,98.3 
9,2013,105.3 
10,2013,101.3 
11,2013,110.7 
12,2013,111.8 
1,2014,95.9 
2,2014,111.8 
3,2014,122.5 
4,2014,97.7 
5,2014,89.4 
6,2014,96.4 
7,2014,96.5 
8,2014,97.5 
9,2014,95.4 
10,2014,109.8 
11,2014,112.9 
12,2014,114.9 
1,2015,98.4 
2,2015,104.6 
3,2015,105.5 
4,2015,99.9 
5,2015,92.2 
6,2015,97.1 
7,2015,97.4 
8,2015,92.8 
9,2015,94.9 
10,2015,102.2 
11,2015,108.5 
