month,year,value
8,2010,104.7 
9,2010,94.2 
10,2010,100.3 
11,2010,116.0 
12,2010,112.4 
1,2011,85.6 
2,2011,95.7 
3,2011,88.4 
4,2011,97.7 
5,2011,91.0 
6,2011,96.7 
7,2011,101.8 
8,2011,98.0 
9,2011,91.9 
10,2011,92.8 
11,2011,91.5 
12,2011,109.3 
1,2012,85.6 
2,2012,90.8 
3,2012,96.6 
4,2012,98.4 
5,2012,99.6 
6,2012,91.0 
7,2012,91.0 
8,2012,98.0 
9,2012,88.7 
10,2012,92.2 
11,2012,92.3 
12,2012,109.0 
1,2013,87.6 
2,2013,97.7 
3,2013,99.5 
4,2013,103.8 
5,2013,97.3 
6,2013,97.7 
7,2013,97.1 
8,2013,101.7 
9,2013,91.9 
10,2013,92.0 
11,2013,93.7 
12,2013,107.3 
1,2014,91.1 
2,2014,86.2 
3,2014,111.2 
4,2014,102.0 
5,2014,93.6 
6,2014,91.2 
7,2014,87.8 
8,2014,94.7 
9,2014,89.4 
10,2014,87.0 
11,2014,92.1 
12,2014,100.4 
1,2015,81.0 
2,2015,85.8 
3,2015,96.0 
4,2015,93.7 
5,2015,92.1 
6,2015,90.0 
7,2015,93.1 
8,2015,96.2 
9,2015,87.6 
10,2015,84.4 
11,2015,86.7 
