month,year,value
8,2010,108.5 
9,2010,94.8 
10,2010,99.9 
11,2010,116.2 
12,2010,130.0 
1,2011,88.3 
2,2011,85.1 
3,2011,86.8 
4,2011,87.8 
5,2011,97.0 
6,2011,117.6 
7,2011,128.3 
8,2011,105.2 
9,2011,101.0 
10,2011,102.3 
11,2011,110.8 
12,2011,136.5 
1,2012,88.6 
2,2012,89.8 
3,2012,100.1 
4,2012,87.4 
5,2012,101.4 
6,2012,118.1 
7,2012,127.0 
8,2012,112.5 
9,2012,102.2 
10,2012,114.4 
11,2012,109.0 
12,2012,136.1 
1,2013,94.2 
2,2013,92.4 
3,2013,96.4 
4,2013,96.4 
5,2013,103.4 
6,2013,122.8 
7,2013,140.3 
8,2013,120.9 
9,2013,107.4 
10,2013,110.9 
11,2013,115.0 
12,2013,143.7 
1,2014,99.0 
2,2014,116.1 
3,2014,176.1 
4,2014,78.5 
5,2014,87.3 
6,2014,114.5 
7,2014,119.9 
8,2014,110.9 
9,2014,95.0 
10,2014,95.0 
11,2014,110.3 
12,2014,136.0 
1,2015,90.8 
2,2015,94.7 
3,2015,107.0 
4,2015,93.7 
5,2015,104.3 
6,2015,112.9 
7,2015,124.6 
8,2015,119.8 
9,2015,100.1 
10,2015,102.6 
11,2015,106.9 
