month,year,value
8,2010,109.2 
9,2010,97.5 
10,2010,86.5 
11,2010,112.9 
12,2010,115.1 
1,2011,89.1 
2,2011,98.2 
3,2011,83.0 
4,2011,100.9 
5,2011,100.0 
6,2011,102.1 
7,2011,102.5 
8,2011,115.8 
9,2011,107.1 
10,2011,118.6 
11,2011,106.4 
12,2011,123.3 
1,2012,86.7 
2,2012,96.2 
3,2012,81.0 
4,2012,84.9 
5,2012,109.5 
6,2012,117.8 
7,2012,113.9 
8,2012,105.8 
9,2012,91.6 
10,2012,102.4 
11,2012,106.1 
12,2012,107.9 
1,2013,80.6 
2,2013,88.1 
3,2013,100.1 
4,2013,101.0 
5,2013,105.4 
6,2013,98.4 
7,2013,99.8 
8,2013,105.5 
9,2013,95.8 
10,2013,110.4 
11,2013,109.3 
12,2013,116.1 
1,2014,91.7 
2,2014,97.5 
3,2014,114.0 
4,2014,112.1 
5,2014,78.1 
6,2014,107.8 
7,2014,98.3 
8,2014,83.0 
9,2014,85.1 
10,2014,96.0 
11,2014,87.2 
12,2014,127.7 
1,2015,85.1 
2,2015,89.8 
3,2015,94.8 
4,2015,88.3 
5,2015,96.5 
6,2015,103.4 
7,2015,93.1 
8,2015,96.2 
9,2015,95.5 
10,2015,102.9 
11,2015,101.8 
